date,buys,total,officer_buys,officer_total,buy_share,officer_buy_share
23-06-23,0,1,0.0,1.0,0.0,0.0
23-06-27,0,1,0.0,1.0,0.0,0.0
23-11-14,0,1,0.0,1.0,0.0,0.0
24-05-15,1,1,1.0,1.0,1.0,1.0
24-05-23,1,1,1.0,1.0,1.0,1.0
2002-05-02,1,1,,,1.0,
2004-05-09,1,1,1.0,1.0,1.0,1.0
2009-02-19,1,1,1.0,1.0,1.0,1.0
2009-03-03,1,1,1.0,1.0,1.0,1.0
2009-08-12,1,1,1.0,1.0,1.0,1.0
2010-08-24,1,1,1.0,1.0,1.0,1.0
2011-03-02,1,1,1.0,1.0,1.0,1.0
2011-04-21,1,1,1.0,1.0,1.0,1.0
2011-05-04,0,1,0.0,1.0,0.0,0.0
2012-01-10,1,12,,,0.08333333333333333,
2012-01-11,1,1,,,1.0,
2012-01-13,0,1,,,0.0,
2012-02-23,0,4,,,0.0,
2012-02-24,3,3,,,1.0,
2012-02-29,18,30,,,0.6,
2012-03-29,1,2,,,0.5,
2012-04-04,1,1,,,1.0,
2012-04-05,0,1,,,0.0,
2012-04-24,2,4,,,0.5,
2012-04-27,1,1,,,1.0,
2012-05-08,0,1,,,0.0,
2012-05-14,0,1,,,0.0,
2012-05-15,1,1,,,1.0,
2013-01-23,0,1,0.0,1.0,0.0,0.0
2013-01-30,1,1,,,1.0,
2013-01-31,0,1,,,0.0,
2013-02-14,1,1,,,1.0,
2013-02-19,0,6,,,0.0,
2013-03-08,0,1,,,0.0,
2013-03-11,2,3,,,0.6666666666666666,
2013-03-13,0,1,,,0.0,
2013-03-15,5,5,,,1.0,
2013-03-19,3,3,,,1.0,
2013-03-21,4,5,,,0.8,
2013-07-05,1,4,,,0.25,
2013-08-19,9,14,,,0.6428571428571429,
2013-08-20,0,3,,,0.0,
2013-08-22,1,2,,,0.5,
2013-09-03,9,11,,,0.8181818181818182,
2014-01-03,1,1,,,1.0,
2014-01-06,0,16,,,0.0,
2014-01-07,1,13,,,0.07692307692307693,
2014-04-17,1,1,,,1.0,
2014-04-23,1,4,,,0.25,
2014-04-29,1,1,,,1.0,
2014-05-05,0,1,,,0.0,
2014-05-22,0,1,0.0,1.0,0.0,0.0
2014-06-05,0,2,0.0,1.0,0.0,0.0
2014-06-10,1,1,,,1.0,
2014-06-24,1,1,,,1.0,
2014-06-26,1,1,,,1.0,
2014-06-27,0,1,,,0.0,
2014-08-05,0,5,,,0.0,
2014-09-26,0,1,0.0,1.0,0.0,0.0
2014-10-09,1,1,1.0,1.0,1.0,1.0
2014-11-04,0,1,,,0.0,
2014-11-05,2,2,,,1.0,
2014-11-06,0,2,,,0.0,
2014-11-10,0,1,0.0,1.0,0.0,0.0
2014-11-18,1,1,1.0,1.0,1.0,1.0
2014-12-11,1,4,0.0,1.0,0.25,0.0
2014-12-29,1,1,,,1.0,
2014-12-30,0,1,,,0.0,
2015-01-13,1,2,,,0.5,
2015-01-15,2,3,,,0.6666666666666666,
2015-01-23,1,2,,,0.5,
2015-01-30,1,1,,,1.0,
2015-02-06,2,2,,,1.0,
2015-02-09,0,16,,,0.0,
2015-02-25,1,2,,,0.5,
2015-03-10,1,2,1.0,1.0,0.5,1.0
2015-03-11,1,1,,,1.0,
2015-04-10,1,1,,,1.0,
2015-04-14,0,1,,,0.0,
2015-04-15,2,2,,,1.0,
2015-04-17,0,2,,,0.0,
2015-05-06,1,1,,,1.0,
2015-05-07,1,8,,,0.125,
2015-06-02,3,3,,,1.0,
2015-06-08,0,1,,,0.0,
2015-06-09,1,1,,,1.0,
2015-06-10,0,18,,,0.0,
2015-06-18,0,1,,,0.0,
2015-06-25,1,1,,,1.0,
2015-07-17,1,1,,,1.0,
2015-07-20,0,1,,,0.0,
2015-07-31,0,1,,,0.0,
2015-08-03,0,1,0.0,1.0,0.0,0.0
2015-08-05,1,1,,,1.0,
2015-10-07,0,3,,,0.0,
2015-10-08,1,1,,,1.0,
2015-11-02,2,2,,,1.0,
2015-11-11,0,1,,,0.0,
2015-12-18,0,1,,,0.0,
2015-12-21,1,1,,,1.0,
2016-01-12,0,2,0.0,2.0,0.0,0.0
2016-01-13,0,2,0.0,2.0,0.0,0.0
2016-01-15,1,1,,,1.0,
2016-01-22,0,1,,,0.0,
2016-02-26,1,3,,,0.3333333333333333,
2016-03-01,0,1,0.0,1.0,0.0,0.0
2016-03-02,1,2,,,0.5,
2016-03-16,1,1,,,1.0,
2016-03-17,0,1,,,0.0,
2016-04-22,0,1,,,0.0,
2016-04-26,1,1,,,1.0,
2016-05-02,0,1,,,0.0,
2016-05-03,4,4,,,1.0,
2016-05-04,0,1,0.0,1.0,0.0,0.0
2016-05-10,0,1,0.0,1.0,0.0,0.0
2016-06-07,7,8,,,0.875,
2016-06-09,4,5,,,0.8,
2016-06-17,3,3,,,1.0,
2016-06-20,0,3,,,0.0,
2016-06-27,1,1,,,1.0,
2016-06-29,0,2,,,0.0,
2016-06-30,1,1,,,1.0,
2016-07-01,0,1,,,0.0,
2016-07-05,1,2,,,0.5,
2016-07-06,0,4,,,0.0,
2016-07-07,4,13,,,0.3076923076923077,
2016-07-08,3,3,,,1.0,
2016-07-11,0,1,,,0.0,
2016-07-18,1,2,,,0.5,
2016-07-27,1,1,,,1.0,
2016-08-11,1,1,,,1.0,
2016-08-18,0,1,,,0.0,
2016-08-23,1,1,,,1.0,
2016-09-06,0,1,,,0.0,
2016-09-12,0,1,0.0,1.0,0.0,0.0
2016-09-22,1,1,,,1.0,
2016-09-27,1,1,,,1.0,
2016-10-03,0,1,,,0.0,
2016-10-25,1,1,1.0,1.0,1.0,1.0
2016-11-08,1,8,,,0.125,
2016-11-15,0,1,,,0.0,
2016-11-18,6,6,5.0,5.0,1.0,1.0
2016-11-28,1,1,,,1.0,
2016-12-05,0,1,,,0.0,
2016-12-08,0,1,,,0.0,
2016-12-14,0,1,0.0,1.0,0.0,0.0
2017-01-27,1,1,1.0,1.0,1.0,1.0
2017-01-30,1,1,1.0,1.0,1.0,1.0
2017-01-31,1,1,1.0,1.0,1.0,1.0
2017-02-10,1,1,1.0,1.0,1.0,1.0
2017-02-21,1,1,1.0,1.0,1.0,1.0
2017-03-07,2,3,1.0,1.0,0.6666666666666666,1.0
2017-03-10,0,1,0.0,1.0,0.0,0.0
2017-03-16,3,3,3.0,3.0,1.0,1.0
2017-03-24,1,1,1.0,1.0,1.0,1.0
2017-03-28,4,4,4.0,4.0,1.0,1.0
2017-04-03,1,1,1.0,1.0,1.0,1.0
2017-04-25,1,1,1.0,1.0,1.0,1.0
2017-05-16,1,1,1.0,1.0,1.0,1.0
2017-05-22,1,1,1.0,1.0,1.0,1.0
2017-06-22,3,4,,,0.75,
2017-07-17,1,1,1.0,1.0,1.0,1.0
2017-07-28,1,1,1.0,1.0,1.0,1.0
2017-08-01,1,1,1.0,1.0,1.0,1.0
2017-08-28,1,1,1.0,1.0,1.0,1.0
2017-09-05,1,1,1.0,1.0,1.0,1.0
2017-09-06,1,2,,,0.5,
2017-09-21,3,4,,,0.75,
2017-10-05,1,1,,,1.0,
2017-10-11,2,3,,,0.6666666666666666,
2017-10-17,0,4,0.0,4.0,0.0,0.0
2017-10-20,0,1,0.0,1.0,0.0,0.0
2017-11-01,1,1,,,1.0,
2017-11-02,0,1,,,0.0,
2017-11-20,1,1,1.0,1.0,1.0,1.0
2017-12-14,1,1,,,1.0,
2017-12-15,0,1,,,0.0,
2017-12-22,1,1,1.0,1.0,1.0,1.0
2017-12-29,4,4,,,1.0,
2018-01-02,0,3,,,0.0,
2018-01-04,0,3,,,0.0,
2018-02-08,0,1,,,0.0,
2018-02-09,1,1,,,1.0,
2018-02-21,1,2,1.0,1.0,0.5,1.0
2018-03-09,0,1,0.0,1.0,0.0,0.0
2018-03-20,1,2,1.0,2.0,0.5,0.5
2018-03-22,0,4,0.0,4.0,0.0,0.0
2018-04-16,0,3,0.0,3.0,0.0,0.0
2018-04-18,1,1,1.0,1.0,1.0,1.0
2018-04-20,1,1,1.0,1.0,1.0,1.0
2018-05-21,0,1,0.0,1.0,0.0,0.0
2018-05-25,1,1,1.0,1.0,1.0,1.0
2018-06-13,0,1,0.0,1.0,0.0,0.0
2018-06-19,1,2,,,0.5,
2018-07-03,1,1,1.0,1.0,1.0,1.0
2018-07-16,1,1,,,1.0,
2018-08-10,1,1,1.0,1.0,1.0,1.0
2018-08-17,0,1,0.0,1.0,0.0,0.0
2018-08-27,2,2,2.0,2.0,1.0,1.0
2018-09-27,3,3,3.0,3.0,1.0,1.0
2018-10-18,0,1,0.0,1.0,0.0,0.0
2018-10-22,1,1,,,1.0,
2018-10-30,0,1,0.0,1.0,0.0,0.0
2018-11-16,1,1,1.0,1.0,1.0,1.0
2018-11-21,2,2,2.0,2.0,1.0,1.0
2018-11-28,1,2,,,0.5,
2018-11-29,30,30,,,1.0,
2018-12-28,0,4,0.0,4.0,0.0,0.0
2019-01-09,0,1,0.0,1.0,0.0,0.0
2019-01-11,1,1,1.0,1.0,1.0,1.0
2019-01-14,1,1,,,1.0,
2019-01-21,1,1,1.0,1.0,1.0,1.0
2019-01-29,1,1,1.0,1.0,1.0,1.0
